Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,0.1uF,C_0603_1608Metric,109.295,-64.1,180,bottom
C102,0.1uF,C_0603_1608Metric,109.17,-74.02,180,bottom
C103,0.1uF,C_0603_1608Metric,109.14,-87.81,180,bottom
C105,0.1uF,C_0603_1608Metric,112.09,-110.11,-90,bottom
C106,0.1uF,C_0603_1608Metric,99.64,-110.13,-90,bottom
C107,0.1uF,C_0603_1608Metric,165.09,-62.325,-90,bottom
C108,0.1uF,C_0603_1608Metric,175,-64.15,-90,bottom
C109,0.1uF,C_0603_1608Metric,134.32,-106.915,90,bottom
C110,0.1uF,C_0603_1608Metric,141.29,-106.935,90,bottom
C111,0.1uF,C_0603_1608Metric,167.62,-106.97,90,bottom
C112,0.1uF,C_0603_1608Metric,160.64,-106.955,90,bottom
C118,0.1uF,C_0603_1608Metric,135.88,-106.925,90,bottom
C119,0.1uF,C_0603_1608Metric,139.75,-106.935,90,bottom
C120,0.1uF,C_0603_1608Metric,166.07,-106.965,90,bottom
C121,0.1uF,C_0603_1608Metric,162.18,-106.955,90,bottom
C122,0.1uF,C_0603_1608Metric,128.83,-77.47,-45,bottom
C123,0.1uF,C_0603_1608Metric,124.521992,-82.221992,-45,bottom
C124,0.1uF,C_0603_1608Metric,144.038008,-81.678008,135,bottom
C125,0.1uF,C_0603_1608Metric,142.948008,-82.778008,135,bottom
C126,0.1uF,C_0603_1608Metric,125.601992,-81.141992,-45,bottom
C127,0.1uF,C_0603_1608Metric,131.236637,-89.393363,45,bottom
C128,0.1uF,C_0603_1608Metric,145.121992,-80.601992,-45,bottom
C129,0.1uF,C_0603_1608Metric,135.1,-92.63,-135,bottom
C130,0.1uF,C_0603_1608Metric,136.184008,-73.619992,-135,bottom
C131,0.1uF,C_0603_1608Metric,130.141992,-88.288008,-135,bottom
C132,10uF,C_0603_1608Metric,129.061992,-87.198008,-135,bottom
C133,0.1uF,C_0603_1608Metric,140.248008,-77.571992,45,bottom
C134,10uF,C_0603_1608Metric,139.138008,-76.481992,45,bottom
C203,0.1uF,C_0603_1608Metric,67.715,-65.11,0,bottom
C204,0.1uF,C_0603_1608Metric,67.715,-73.09,0,bottom
C205,0.1uF,C_0603_1608Metric,67.715,-83.25,0,bottom
C401,0.1uF,C_0603_1608Metric,168.2,-83.06,45,bottom
C402,0.1uF,C_0603_1608Metric,172.591992,-87.628008,45,bottom
C403,0.1uF,C_0603_1608Metric,179.138008,-81.098008,-45,bottom
C404,0.1uF,C_0603_1608Metric,171.858008,-78.068008,-45,bottom
C405,0.1uF,C_0603_1608Metric,172.928008,-76.988008,-45,bottom
C406,0.1uF,C_0603_1608Metric,176.961992,-83.251992,135,bottom
C407,0.1uF,C_0603_1608Metric,205.415,-57.13,0,bottom
C408,0.1uF,C_0603_1608Metric,205.445,-70.13,0,bottom
C411,0.1uF,C_0603_1608Metric,193.9,-68.63,0,bottom
C413,0.1uF,C_0603_1608Metric,205.565,-89.33,0,bottom
C414,0.1uF,C_0603_1608Metric,171.51,-86.54,45,bottom
C415,0.1uF,C_0603_1608Metric,178.048008,-82.168008,-45,bottom
C416,0.1uF,C_0603_1608Metric,167.111992,-81.978008,45,bottom
C417,0.1uF,C_0603_1608Metric,205.575,-102.33,0,bottom
R108,100R,R_0603_1608Metric,127.971992,-86.098008,45,bottom
R109,100R,R_0603_1608Metric,138.043363,-75.386637,-135,bottom
R110,2k7,R_0603_1608Metric,80.2,-82.205,-90,bottom
R111,22R,R_0603_1608Metric,73.485,-89.16,180,bottom
R119,22R,R_0603_1608Metric,73.02,-125.415,90,bottom
R120,22R,R_0603_1608Metric,70.88,-125.415,90,bottom
C104,0.1uF,C_0603_1608Metric,106.64,-96.84,-90,top
C136,0.1uF,C_0603_1608Metric,131.28,-54.505,90,top
C137,0.1uF,C_0603_1608Metric,118.26,-101.75,135,top
C140,0.1uF,C_0603_1608Metric,89.05,-111.825,-90,top
C142,0.1uF,C_0603_1608Metric,89.04,-117.455,-90,top
C200,0.1uF,C_0603_1608Metric,90.57,-65.685,90,top
C201,0.1uF,C_0603_1608Metric,82.65,-65.685,-90,top
C202,0.1uF,C_0603_1608Metric,72.49,-65.685,-90,top
C206,0.1uF,C_0603_1608Metric,66.98,-88.4,90,top
C207,0.1uF,C_0603_1608Metric,75.05,-88.385,90,top
C208,0.1uF,C_0603_1608Metric,80.21,-88.345,90,top
C209,0.1uF,C_0603_1608Metric,86.51,-88.385,90,top
C210,0.1uF,C_0603_1608Metric,90.57,-87.035,90,top
C211,0.1uF,C_0603_1608Metric,90.57,-82.035,90,top
C212,0.1uF,C_0603_1608Metric,90.57,-76.925,90,top
C214,0.1uF,C_0603_1608Metric,72.135,-117.8,180,top
C216,0.1uF,C_0603_1608Metric,90.57,-71.82,90,top
C400,0.1uF,C_0603_1608Metric,151.9,-54.5,90,top
C409,0.1uF,C_0603_1608Metric,186.81,-54.1,180,top
C410,0.1uF,C_0603_1608Metric,186.84,-61.33,180,top
C412,0.1uF,C_0603_1608Metric,186.895,-74.63,180,top
C418,0.1uF,C_0603_1608Metric,186.935,-86.83,180,top
C422,0.1uF,C_0603_1608Metric,186.945,-90.83,180,top
C423,0.1uF,C_0603_1608Metric,187.025,-101.13,180,top
C425,0.1uF,C_0603_1608Metric,186.995,-106.83,180,top
R100,10k,R_0603_1608Metric,60.29,-106.07,90,top
R101,10k,R_0603_1608Metric,62.83,-106.065,90,top
R102,10k,R_0603_1608Metric,100.115,-44.24,180,top
R103,10k,R_0603_1608Metric,100.125,-42.65,180,top
R105,2k7,R_0603_1608Metric,70.875,-108.83,0,top
R106,10k,R_0603_1608Metric,127.845,-51.14,0,top
R107,10k,R_0603_1608Metric,141.455,-48.7,180,top
R112,22R,R_0603_1608Metric,123.463363,-95.746637,-135,top
R113,22R,R_0603_1608Metric,149.17,-71.25,0,top
R114,22R,R_0603_1608Metric,146.5,-92.37,-45,top
R115,22R,R_0603_1608Metric,149.155,-74.97,0,top
R116,22R,R_0603_1608Metric,149.165,-73.42,0,top
R117,22R,R_0603_1608Metric,121.05,-73.61,180,top
R118,22R,R_0603_1608Metric,121.045,-75.13,180,top
R400,10k,R_0603_1608Metric,149.015,-51.26,0,top
R401,10k,R_0603_1608Metric,163.905,-48.73,180,top
U101,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,112.9325,-61.3,180,top
U102,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,112.8075,-71.345,180,top
U103,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,112.7825,-82.34,180,top
U104,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,112.77,-93.14,180,top
U105,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,114.68,-112.2021,90,top
U106,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,104.715,-112.2021,90,top
U107,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,168.02,-60.8075,90,top
U108,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,177.915,-60.8075,90,top
U109,SN74LVC16T245DLR,48-BSSOP,164.1275,-110.2545,-90,top
U110,SN74LVC16T245DLR,48-BSSOP,137.79,-110.2545,-90,top
U111,ICE40HX4K-TQ144,LQFP-144_20x20mm_P0.5mm,134.49,-82.12,135,top
U113,74LVC1G125,SOT-353_SC-70-5,93.165,-117.6275,90,top
