Value,Reference,Footprint,LCSC Part Number
7pF,C222,603,C53775
13pF,"C220,C221",603,C34243
47pF,C307,603,C1671
100pF,"C301,C304,C312,C315,C316",603,C14858
330pF,"C518,C519",603,C1664
1000pF,"C234,C235,C236",603,C1588
3900pF,"C516,C517",603,C170145
6800pF,"C515,C524",603,C1631
0.01uF,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C210,C514",603,C57112
0.047uF,"C202,C203,C204,C205,C512,C513",603,C1622
0.1uF,"C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C135,C137,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C150,C152,C153,C156,C157,C158,C159,C200,C201,C206,C207,C208,C209,C211,C213,C214,C215,C218,C219,C223,C224,C227,C228,C229,C230,C231,C232,C233,C238,C239,C241,C243,C246,C249,C250,C251,C252,C253,C256,C257,C258,C259,C261,C262,C263,C267,C302,C303,C305,C306,C420,C421,C429,C430,C431,C432,C433,C434,C435,C436,C438,C440,C500,C510,C511,C615,C616,C701,C702,C703,C704,C705,C706,C707,C708,C709,C710,C711,C712,C713,C714,C715,C716,C717,C718,C719,C720,C721,C722,C723,C724,C725,C726,C727,C728,C730,C736,C802,C803,C804,C805,C806,C807,C808,C809,C810,C811,C812,C813,C814,C815,C816,C817,C818,C819,C820,C821,C822,C823,C824,C825,C900,C901,C902,C904,C905,C906,C907,C908",603,C14663
0.22uF,"C300,C506,C508,C509",603,C21120
1uF,C212,603,C15849
4.7uF,C507,Radial_D5.0mm_P2.00mm,C88759
4.7uF,"C617,C618,C623,C626",603,C19666
10uF,"C136,C138,C149,C151,C437,C439,C729,C735",603,C96446
10uF,"C608,C611,C613,C619,C625",Radial_D5.0mm_P2.00mm,C88726
22uF,"C237,C240,C520,C521",Radial_D5.0mm_P2.00mm,C88755
47uF,"C522,C523,C600,C602,C603,C604,C605,C606,C607,C609,C610,C614,C620,C621,C622,C624",Radial_D5.0mm_P2.00mm,C88724
68uF,"C216,C217",Radial_D5.0mm_P2.00mm,C439891
220uF,"C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C133,C134,C601",Radial_D6.3mm_P2.50mm,C141282
470uF,"C313,C314,C501",Radial_D10.0mm_P5.00mm,C59353
1R,"R302,R500,R503,R504",603,C22936
4A,"F1,F2",1206,C1972812
22R,"R140,R141,R142,R143,R144,R145,R213,R215,R216,R217,R219,R220,R272,R273,R274,R275,R307,R907,R908,R909,R910,R913,R914,R915,R916,R917,R918,R919,R920,R921,R922,R923,R924,R925,R926,R927,R928,R929,R931,R932,R933,R934,R935,R936",603,C23345
47R,"R222,R226,R230,R231,R232,R233,R237,R301,R304,R313,R314,R315,R316,R317,R318,R319,R320,R321,R322,R323,R324",603,C23182
68R,"R204,R205,R206,R207,R211,R218,R251,R252",603,C25254
100R,"R156,R157,R160,R161,R400,R401,R700,R701",603,C22775
200R,"R212,R247",603,C8218
470R,R201,603,C23179
750R,"R505,R507",603,C23241
1k,"R214,R224,R225,R227,R248,R249,R254,R255,R256,R257,R258,R259,R262,R263,R264,R268,R303,R309,R311,R312,R501,R502,R522,R523,R524,R526,R900",603,C21190
1k,RN305,SIP6,C1357978
2k,"R602,R906",603,C22975
8362,U300,DIP-48,C5510465
8364,U500,DIP-48,C5510465
DIP-40 Socket,"U203,U204,U210,U211",DIP-40,C2332
10k,"R154,R155,R158,R159,R200,R202,R203,R208,R209,R223,R228,R229,R241,R265,R266,R279,R300,R305,R308,R402,R403,R509,R510,R511,R513,R515,R516,R517,R525,R702,R703,R901,R902,R903,R904,R911,R912",603,C25804
10k,RN211,SIP9,C840655
32.768KHz,Y4,2Pin_3.2x1.5mm,C20340322
470k,"R508,R514",603,C23178
6MHz,X1,4Pin_2.5x2.0mm,C2451074
8MHz,Y1,2Pin_5.0x3.2mm,C5564812
28.63636MHz,X3,4Pin_2.5x2.0mm,C1670933
33MHz,X2,4Pin_2.5x2.0mm,C17506154
1x03 Pin Header,"J201,J202,J303,J209,J208,J207,J206,CN209",1x03_P2.54mm_Vertical,C49257
1k2,R506,603,C22765
1N4148,"D200,D204",SOD-323,C118873
2k2,"R267,R280,R281,R600",603,C4190
2k4,"R518,R519",603,C22940
2k7,"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R146,R147,R148,R149,R150,R162,R221,R234,R235,R236,R238,R239,R240,R242,R243,R244,R245,R246,R269,R270,R271,R276,R277,R278,R512",603,C13167
2k7,"RN100,RN200,RN201,RN202,RN203,RN204,RN205,RN206,RN207",SIP9,C1358456
2k7,RN101,SIP7,C51837
47R 0.5W,R310,805,C560533
4k7,"R210,R520,R521",603,C23162
4k7,"RN208,RN213,RN302",SIP5,C11392
4k7,RN301,SIP9,C840654
5-20pF,VC200,6mm Lead Spacing,C3273401
5k1,"R260,R261",603,C23186
5k1,"R601,R603",805,C27834
74AHC04,"U108,U219",TSSOP-14,C415550
74AHC1G09,U232,SOT23-5,C840099
74AHCT157,U224,SOIC-16,C554544
74AHCT244,"U301,U302",TSSOP-20,C135583
74AHCT245,U201,TSSOP-20,C173388
74CBT16233,U229,SSOP-56,C2674759
74HCT00,U213,TSSOP-14,C8206
74HCT03,U215,TSSOP-14,C546492
74HCT08,"U209,U305",TSSOP-14,C131488
74HCT74,"U212,U303",TSSOP-14,C141335
74HCT4066,"U221,U222",TSSOP-14,C26433
74LVC08,"U220,U231,U815",TSSOP-14,C6053
74LVC245,"U701,U702,U703,U704,U705,U706,U806,U807,U808,U809,U812,U813,U814,U816,U817,U818,U819,U900,U901,U902,U903,U904,U905",TSSOP-20,C7848
74LVC373,"U906,U907",TSSOP-20,C485083
74LVC16646,"U111,U112,U810",SSOP-56,C2869631
74LVC2G34,U200,SOT -363,C14461
_KBRST,CN210,PinHeader_1x01_P2.54mm_Vertical,C81276
2X03 Pin Header,"AGNUS1,JIDE1,JPCI1",2x03_P2.54mm_Vertical,C124384
Agnus_MULTI,U202,PLCC-84,C5445002
AO3400A,Q202,SOT-23,C347475
AP2114H-1.2,U601,SOT-223,C94854
AP2114H-3.3,U600,SOT-223,C150716
AP2156SG-13,U228,SOIC-8,C88233
ATX-24,CN601,2x12_P4.20mm_Vertical,C114088
AudioJack,CN501,SJ1-3533NG_Horizontal,C18166
AZ75232G,"U205,U207",TSSOP-20,C444988
Battery_Cell,BT2,Keystone_103_1x20mm,C238065
BZT52C5V1,D205,SOD-123,C2117
Case Fan,CN205,1x04_P2.54mm_Vertical,C240840
CASE HDR,JCASE1,2x04_P2.54mm_Vertical,C225289
DB15_Female_HighDensity,CN300,,C379814
DB25_Stack_FemaleAndMale,CN203,DSUB-25_Stack_Female_Bottom_Male_Top,C17554757
DSP/DVD (RGGL),CN500,1x04_P2.54mm_Vertical,C306099
ESDS452,"D206,D207,D208,D209,D210,D211,D212",SOT-23,C37574382
I2C,CN206,1x04_P2.54mm_Vertical,C124378
ICE40HX4K-TQ144,"U109,U110,U409,U712",LQFP-144,C1521989
INTERNAL FLOPPY,CN204,PinHeader_2x17_P2.54mm,C2685134
LED,"D203,D600,D601,D602,D603",603,C2286
LF347,U501,SOIC-14,C7917
LM833,U502,SOIC-8,C127074
LM79L05,U602,SOIC-8,C7555
MIC1232,U206,SOIC-8,C627729
MMBFJ211,"Q500,Q501",SOT-23,C3290016
MMBT3904,Q200,SOT-23,C84104
MMBT3906,"Q201,Q502,Q900",SOT-23,C75549
PCI32-5V,"CN100,CN101,CN102,CN103,CN104",1.27mm Direct Insert 120P,C4900616
ATA HEADER,"CN900,CN901",PinHeader_2x20_P2.54mm_Vertical,C429965
1x02 Pin Header,"J200,J203,J210,TP_109",1x02_P2.54mm_Vertical,C124375
ROM WAIT,J212,2x02_P2.54mm_Vertical,C66690
S1MWF-7,"D201,D202,D301,D400",SOD-123,C460736
SDRAM(8Mx32),U707,TSOP-II-86,C1351836
SN74LVC16T245DLR,"U802,U803,U804,U805",BSSOP-48,C2682002
SST39VF1601C,U223,TSOP-I-48,C184156
STM32F205RETx,U227,LQFP-64,C66278
Programming Header,"CN227,CN109,CN110,CN409,CN712",1x06_P2.54mm_Vertical,C37208
USB_A_Stacked,CN201,USB-A,C5366339
USBLC6-2SC6,"U225,U226",SOT-23,C7519
Video-Slot,"CN301,CN302",2x18_P2.54mm_Horizontal,C5173302
VIDIOT,HY300,PinSocket_1x22_P2.54mm_Vertical,C6358405
W25X20CLSN,"U109F1,U110F1,U409F1,U712F1",SOIC-8,C34591
