* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Jun 14 2025 11:16:52

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, not used, , , , , , leftBank
3, PIO, not used, , , , , , leftBank
4, PIO, not used, , , , , , leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, not used, , , , , , leftBank
8, PIO, not used, , , , , , leftBank
9, PIO, not used, , , , , , leftBank
10, PIO, TEAn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
11, PIO, not used, , , , , , leftBank
12, PIO, ATA_ENn, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, not used, , , , , , leftBank
16, PIO, A16, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
17, PIO, not used, , , , , , leftBank
18, PIO, not used, , , , , , leftBank
19, PIO, not used, , , , , , leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, not used, , , , , , leftBank
22, PIO, A15, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
23, PIO, A14, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
24, PIO, A13, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
25, PIO, A12, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
26, PIO, not used, , , , , , leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, not used, , , , , , leftBank
29, PIO, not used, , , , , , leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, not used, , , , , , leftBank
32, PIO, not used, , , , , , leftBank
33, PIO, not used, , , , , , leftBank
34, PIO, not used, , , , , , leftBank
37, PIO, not used, , , , , , bottomBank
38, PIO, not used, , , , , , bottomBank
39, PIO, not used, , , , , , bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, not used, , , , , , bottomBank
42, PIO, not used, , , , , , bottomBank
43, PIO, not used, , , , , , bottomBank
44, PIO, not used, , , , , , bottomBank
45, PIO, not used, , , , , , bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, TSn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
48, PIO, not used, , , , , , bottomBank
49, PIO_GBIN, RESETn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
52, PIO_GBIN, CLK40, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, not used, , , , , , bottomBank
56, PIO, not used, , , , , , bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, not used, , , , , , bottomBank
61, PIO, not used, , , , , , bottomBank
62, PIO, not used, , , , , , bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, not used, , , , , , rightBank
74, PIO, TACKn, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
75, PIO, BGn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
76, PIO, not used, , , , , , rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, not used, , , , , , rightBank
79, PIO, RnW, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
80, PIO, not used, , , , , , rightBank
81, PIO, not used, , , , , , rightBank
82, PIO, not used, , , , , , rightBank
83, PIO, IDEDIR, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
84, PIO, CS0_SECn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
85, PIO, ATA_LATCH, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, IDELENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
88, PIO, IDEHRENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, not used, , , , , , rightBank
91, PIO, CS0_PRIn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, DIOW_PRIn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
95, PIO, CS1_PRIn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
96, PIO, DIOR_PRIn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
97, PIO, IDEHWENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
98, PIO, DIOW_SECn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
99, PIO, DIOR_SECn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, CS1_SECn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
102, PIO, not used, , , , , , rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, not used, , , , , , rightBank
105, PIO, not used, , , , , , rightBank
106, PIO, not used, , , , , , rightBank
107, PIO, not used, , , , , , rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, not used, , , , , , topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, not used, , , , , , topBank
113, PIO, not used, , , , , , topBank
114, PIO, not used, , , , , , topBank
115, PIO, not used, , , , , , topBank
116, PIO, not used, , , , , , topBank
117, PIO, not used, , , , , , topBank
118, PIO, not used, , , , , , topBank
119, PIO, not used, , , , , , topBank
120, PIO, not used, , , , , , topBank
121, PIO, INT2n, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
122, PIO, not used, , , , , , topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, not used, , , , , , topBank
125, PIO, not used, , , , , , topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
130, PIO, not used, , , , , , topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, not used, , , , , , topBank
