* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 14 2025 17:39:27

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, A[28], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
3, PIO, A[22], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
4, PIO, A[26], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, A[29], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
8, PIO, A[24], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
9, PIO, A[30], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
10, PIO, A[31], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
11, PIO, A[27], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
12, PIO, A[25], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, A[21], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
16, PIO, A[23], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
17, PIO, A[20], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
18, PIO, not used, , , , , , leftBank
19, PIO, not used, , , , , , leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, not used, , , , , , leftBank
22, PIO, not used, , , , , , leftBank
23, PIO, not used, , , , , , leftBank
24, PIO, not used, , , , , , leftBank
25, PIO, not used, , , , , , leftBank
26, PIO, A[12], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, A[13], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
29, PIO, not used, , , , , , leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, not used, , , , , , leftBank
32, PIO, A[16], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
33, PIO, A[17], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
34, PIO, A[18], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
37, PIO, A[19], Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
38, PIO, D[0], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
39, PIO, D[1], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, D[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
42, PIO, D[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
43, PIO, D[4], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
44, PIO, D[5], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
