* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Feb 2 2025 09:29:37

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, SIZ[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
2, PIO, SIZ[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
3, PIO, not used, , , , , , leftBank
4, PIO, not used, , , , , , leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, TACKn, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
8, PIO, A[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
9, PIO, A[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
10, PIO, A[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
11, PIO, A[20], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
12, PIO, A[0], Input, , SB_LVCMOS, Pull Up, Simple Input, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, A[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
16, PIO, A[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
17, PIO, A[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
18, PIO, A[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
19, PIO, A[8], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
20, PIO_GBIN, CLK40_IN, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
21, PIO_GBIN, CLK40C_OUT, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
