* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 9 2025 20:28:57

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, D_UU_AMIGA[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
2, PIO, D_UM_AMIGA[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
3, PIO, D_UM_AMIGA[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
4, PIO, D_UM_AMIGA[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, D_UM_AMIGA[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
8, PIO, D_UU_AMIGA[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
9, PIO, D_LM_AMIGA[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
10, PIO, D_LM_AMIGA[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
11, PIO, D_UM_AMIGA[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
12, PIO, D_LM_AMIGA[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, D_UM_AMIGA[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
16, PIO, D_LM_AMIGA[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
17, PIO, D_UM_AMIGA[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
18, PIO, D_LM_AMIGA[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
19, PIO, D_LM_AMIGA[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, CLK40C, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
22, PIO, D_LM_AMIGA[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
23, PIO, D_LM_AMIGA[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
24, PIO, D_LL_AMIGA[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
25, PIO, D_LL_AMIGA[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
26, PIO, D_LL_AMIGA[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, D_LL_AMIGA[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
29, PIO, D_LL_AMIGA[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, D_LL_AMIGA[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
32, PIO, D_LL_AMIGA[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
33, PIO, D_LL_AMIGA[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
34, PIO, RESETn, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
37, PIO, A_040[0], Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
38, PIO, A_040[1], Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
39, PIO, A_AMIGA[0], Output, , SB_LVCMOS, Pull Up, Simple Output, bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, A_AMIGA[1], Output, , SB_LVCMOS, Pull Up, Simple Output, bottomBank
42, PIO, PORTSIZE, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
43, PIO, TEAn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
44, PIO, TCIn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
45, PIO, TSn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, TACKn, InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, bottomBank
48, PIO, LBENn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
49, PIO_GBIN, CLK40B, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
52, PIO_GBIN, CLKRAMB, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, TBIn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
56, PIO, CLKRAMA, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, not used, , , , , , bottomBank
61, PIO, not used, , , , , , bottomBank
62, PIO, not used, , , , , , bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, TBI_CPUn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, D_LL_040[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
74, PIO, D_LL_040[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
75, PIO, D_LL_040[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
76, PIO, D_LL_040[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, D_LL_040[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
79, PIO, D_LL_040[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
80, PIO, D_LL_040[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
81, PIO, D_LL_040[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
82, PIO, D_LM_040[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
83, PIO, D_LM_040[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
